CHROM,MIN_START,MAX_END,AVG_START,AVG_END,AVG_SIZE,AVG_QUAL,SAMPLES_COUNT,SAMPLES_PERCENT,SIZE_STDEV,RSSD,BREAKPOINT_WINDOW,BREAKPOINT_PRECISION,START_BREAKPOINT_CONFIDENCE,END_BREAKPOINT_CONFIDENCE,SOFT_CLIP_SUPPORT,SAMPLES_WITH_BP_EVIDENCE,EVIDENCE_CLUSTERED,START_DEPTH_RATIO,END_DEPTH_RATIO,REPEAT_OVERLAP,REPEAT_OVERLAP_BP,REPEAT_OVERLAP_PERCENT,REPEAT_TYPES,REPEAT_NAMES,REPEAT_FAMILIES,REPEAT_CLASSES,PRIMARY_REPEAT_TYPE,PRIMARY_REPEAT_NAME,PRIMARY_REPEAT_OVERLAP_BP,NUM_REPEAT_ELEMENTS,REPEAT_DENSITY,DISTANCE_TO_NEAREST_REPEAT,PRIMARY_GENE_NAME,PRIMARY_GENE_START,PRIMARY_GENE_END,PRIMARY_GENE_STRAND,PRIMARY_GENE_OVERLAP_BP,PRIMARY_GENE_DISTANCE
NW_026622897.1,4317962,4319695,4318124.5,4319549.9,1425.4,5047.15,13,100,31.83,0.0223,307.6,0.74132,0.48263999999999996,1,30,7,both,1.477,0.991,Yes,365,27.92654935,LINE;SINE;Simple_repeat,(A)n;(AC)n;AilMel-5.1433;CR1-3_Croc;MIR,CR1;L1;MIR,LINE;SINE;Simple_repeat,LINE,CR1-3_Croc,144,6,0.279265493,0,GUCY1A2,4096187,4521542,-,1307,0
NC_079873.1,85343658,85343911,85343661.1,85343866.5,205.4,9999,13,100,10.36,0.0504,47.6,0.6682,0.7933,0.5431,35,6,both,1.122,1.132,Yes,203,99.02439024,SINE,AilMel-5.756,tRNA,SINE,SINE,AilMel-5.756,203,1,0.990243902,0,GUCY2F,85247986,85342393,-,0,1264
NW_026622797.1,53767466,53767716,53767466.5,53767683.8,217.3,9999,13,100,10.59,0.0487,32.7,0.78465,0.844,0.7253,45,6,both,0.942,0.886,No,0,0,None,None,None,None,None,None,0,0,0,288,HACE1,53764713,53865135,+,213,0
NW_026622808.1,28816764,28816823,28816766.3,28816808.5,42.2,6190.77,13,100,4.4,0.1044,20,0.42000000000000004,0.33,0.51,35,8,both,1.073,0.933,No,0,0,None,None,None,None,None,None,0,0,0,36,HAPLN4,28819373,28823354,-,0,2560
NW_026623008.1,23687612,23688790,23687661.9,23688446.2,784.3,9999,13,100,152.81,0.1948,393.7,0.61605,0.5654,0.6667,53,2,both,1.096,0.936,Yes,600,84.74576271,LINE;SINE;tRNA,AilMel-5.25;AilMel-5.756;L1ME3F_3end;L2a_3end;tRNA-Lys-AAG,L1;L2;tRNA,LINE;SINE;tRNA,SINE,AilMel-5.756,202,6,0.847457627,0,HDAC1,23671280,23705556,+,708,0
NW_026622763.1,107280806,107282274,107280864.1,107282020.2,1156.1,8676.73,13,100,21.36,0.0185,311.9,0.6889000000000001,0.6722,0.7056,36,5,both,1.034,0.841,Yes,154,12.44947454,SINE;Simple_repeat,(A)n;MIR3,MIR,SINE;Simple_repeat,SINE,MIR3,113,2,0.124494745,0,HDAC4,107032064,107333489,-,1237,0
NC_079873.1,57969834,57970061,57969834,57970006.4,172.4,9999,13,100,20.35,0.1181,54.6,0.7758,0.72,0.8316,37,5,both,1,0.871,Yes,60,37.03703704,SINE,MIR,MIR,SINE,SINE,MIR,60,1,0.37037037,0,HDAC8,57808049,58021126,-,162,0
NW_026622941.1,12518538,12518580,12518538.5,12518579.4,40.9,8474,13,100,0.83,0.0202,20,0.37355,0.6471,0.1,17,7,start,0.939,,Yes,41,100,LINE,VulLag-6.460,L1,LINE,LINE,VulLag-6.460,41,1,1,0,HEBP1,12506153,12531780,-,41,0
NW_026623030.1,21865790,21866012,21865790,21866011.6,221.6,9999,13,100,0.84,0.0038,20,0.45537000000000005,0.4817,0.42904000000000003,35,7,both,1.125,0.685,Yes,310,133.6206897,SINE,AilMel-5.756;PanPar-1.30,tRNA,SINE,SINE,AilMel-5.756,201,2,1.336206897,0,HECTD4,21748993,21925475,+,232,0
NW_026623030.1,21919887,21920528,21920037,21920374.9,337.9,5444.29,13,100,34.53,0.1022,303.1,0.6428499999999999,0.7333,0.5524,24,5,both,1.049,1.107,No,0,0,None,None,None,None,None,None,0,0,0,242,HECTD4,21748993,21925475,+,379,0
NW_026622985.1,10228324,10228638,10228324.1,10228607.6,283.5,9999,13,100,22.63,0.0798,45.3,0.5981000000000001,0.6562,0.54,36,8,both,0.955,0.939,No,0,0,None,None,None,None,None,None,0,0,0,216,HECW1,9969257,10406193,-,256,0
NW_026622830.1,673546,673681,673546,673645.3,99.3,9999,13,100,15.53,0.1564,35.7,0.6030500000000001,0.54,0.6661,34,7,both,1.149,1.054,No,0,0,None,None,None,None,None,None,0,0,0,178,HELZ2,668725,683301,+,75,0
NW_026622797.1,21904464,21904735,21904464,21904704.8,240.8,9999,13,100,11.16,0.0463,30.2,0.7974,0.8448,0.75,47,9,both,0.837,0.979,Yes,234,99.57446809,SINE;Simple_repeat,(TTTA)n;AilMel-5.756,tRNA,SINE;Simple_repeat,SINE,AilMel-5.756,167,2,0.995744681,0,HIVEP2,21908036,22101977,+,0,3337
NW_026622786.1,72693695,72694676,72693857.5,72694526.7,669.2,5430.46,13,100,33.37,0.0499,311.8,0.77485,0.9364,0.6133,48,5,both,1,0.949,Yes,394,49.68474149,LTR;SINE,LTR33;MIR3,ERVL;MIR,LTR;SINE,LTR,LTR33,299,2,0.496847415,0,HIVEP3,72562204,73013934,+,793,0
NW_026622808.1,69133757,69134009,69133757,69133972.6,215.6,9999,13,100,22.15,0.1027,44.3,0.6200000000000001,0.6400000000000001,0.6,35,5,both,1.771,0.824,Yes,204,100,LINE;SINE,AilMel-5.756;L1MCc_5end,L1;tRNA,LINE;SINE,SINE,AilMel-5.756,202,2,1,0,HMCES,69124225,69144151,+,204,0
NW_026622886.1,42411118,42411360,42411118,42411314.7,196.7,9999,13,100,13.08,0.0665,45.3,0.6846,0.583,0.7862,48,5,both,1.009,0.883,Yes,200,100,SINE,AilMel-5.756,tRNA,SINE,SINE,AilMel-5.756,200,1,1,0,HMGA2,42367490,42505444,-,200,0
NW_026622763.1,22031810,22032060,22031810.8,22032030.5,219.7,9999,13,100,11.63,0.0529,30.3,0.6801999999999999,0.7239,0.6365,47,7,both,0.897,1.126,Yes,189,100,SINE,UrsMar-6.1536,tRNA,SINE,SINE,UrsMar-6.1536,189,1,1,0,HNMT,22008545,22060323,+,189,0
NW_026622863.1,44075268,44076231,44075430.6,44076096.2,665.7,5036.04,13,100,38.22,0.0574,297.3,0.6266,0.5476,0.7056,39,5,both,1.11,0.913,Yes,580,85.79881657,DNA;LINE;SINE;Simple_repeat,(TC)n;L1ME4b_3end;LycPic-1.11;LycPic-1.14;OdoRos-1.10;PumCon-3.547;ZalCal-6.612,L1;TcMar-Tigger;tRNA,DNA;LINE;SINE;Simple_repeat,LINE,L1ME4b_3end,242,9,0.857988166,0,HNRNPL,44059514,44073873,-,0,1548
NW_026623030.1,11543567,11543805,11543567,11543767,200,9999,13,100,10.98,0.0549,38,0.4409,0.5351,0.3467,30,5,both,0.991,0.874,Yes,204,97.14285714,SINE,AilMel-5.756,tRNA,SINE,SINE,AilMel-5.756,204,1,0.971428571,0,HORMAD2,11482018,11547635,+,210,0
NW_026623030.1,11530984,11531228,11530984,11531188.3,204.3,9999,13,100,18.3,0.0896,39.7,0.5455000000000001,0.5542,0.5368,31,8,both,1.011,1.009,Yes,177,98.33333333,SINE,AilMel-5.756,tRNA,SINE,SINE,AilMel-5.756,177,1,0.983333333,0,HORMAD2,11482018,11547635,+,180,0
NW_026622908.1,8514527,8514767,8514527,8514721.6,194.6,9999,13,100,13.12,0.0674,45.4,0.5692999999999999,0.6,0.5386,31,5,both,1.133,0.848,Yes,178,93.19371728,LINE,AilMel-5.28,L1,LINE,LINE,AilMel-5.28,178,1,0.931937173,0,HPS5,8482373,8528587,-,191,0
NW_026623089.1,28231939,28232022,28231939,28232004.4,65.4,9999,13,100,5.09,0.0779,20,0.3408,0.5816,0.1,19,5,start,1.022,,No,0,0,None,None,None,None,None,None,0,0,0,496,HPSE2,28211295,28852061,+,65,0
NW_026623089.1,28323799,28330539,28323923.6,28330361.4,6437.8,6211.86,13,100,25.72,0.004,302.2,0.71085,0.725,0.6967,35,3,both,0.898,1.03,Yes,6408,100.062461,LINE;SINE,AilMel-1.74;AilMel-5.25;AilMel-5.28;AilMel-5.756;L1ME2_3end,L1;tRNA,LINE;SINE,LINE,AilMel-1.74,4737,6,1.00062461,0,HPSE2,28211295,28852061,+,6404,0
NC_079873.1,120184159,120184431,120184159,120184381.7,222.7,9999,13,100,20.58,0.0924,49.3,0.67015,0.5684,0.7719,35,4,both,1.045,0.976,Yes,202,93.51851852,SINE,MIRb;UrsMar-6.1536,MIR;tRNA,SINE,SINE,UrsMar-6.1536,201,2,0.935185185,0,HS6ST2,120051688,120338144,+,216,0
NC_079873.1,120118690,120120053,120118750.4,120120027.4,1277,8480.31,13,100,24.52,0.0192,86,0.50385,0.5597,0.44800000000000006,14,5,both,1.077,0.364,Yes,1264,100,LINE;SINE,AilMel-5.756;L1MEg_5end,L1;tRNA,LINE;SINE,LINE,L1MEg_5end,1061,3,1,0,HS6ST2,120051688,120338144,+,1264,0
NW_026622863.1,50280664,50280886,50280676.7,50280885.9,209.2,9999,13,100,5.95,0.0284,20,0.54507,0.6666400000000001,0.4235,38,6,both,1.675,0.879,Yes,189,100,SINE,UrsMar-6.1536,tRNA,SINE,SINE,UrsMar-6.1536,189,1,1,0,HSD17B14,50268058,50282374,-,189,0
NW_026622863.1,34204642,34204792,34204642,34204764.3,122.3,9999,13,100,10.79,0.0883,27.7,0.5499,0.5615,0.5383,31,5,both,1.011,0.942,No,0,0,None,None,None,None,None,None,0,0,0,57,HSD17B2,34123415,34200370,+,0,4272
NW_026623056.1,92372094,92378599,92372196.6,92378406.6,6210,6859.21,13,100,27.04,0.0044,295,0.5800000000000001,0.6,0.56,35,4,both,0.92,1.018,Yes,6052,99.96696399,LINE;SINE,AilMel-1.74;AilMel-5.25,L1;tRNA,LINE;SINE,LINE,AilMel-1.74,5191,3,0.99966964,0,HSF2BP,92285485,92389546,-,6054,0
NC_079873.1,117018303,117018579,117018303,117018513.5,210.5,9999,13,100,25.87,0.1229,65.5,0.7957000000000001,0.7425,0.8489,36,3,both,1,0.958,Yes,201,99.5049505,SINE,AilMel-5.756,tRNA,SINE,SINE,AilMel-5.756,201,1,0.995049505,0,HTATSF1,117006462,117023648,-,202,0
NW_026622819.1,39225978,39226134,39225978,39226089.5,111.5,9999,13,100,12.84,0.1151,44.5,0.71395,0.6103,0.8176,41,8,both,0.955,0.86,Yes,98,95.14563107,LINE,L3,CR1,LINE,LINE,L3,98,1,0.951456311,0,HTR4,39165280,39319262,-,103,0
NW_026622852.1,14797783,14798283,14797873.6,14798074.4,200.8,7235.11,13,100,37.87,0.1885,299.2,0.6111500000000001,0.6167,0.6056,33,8,both,1.146,0.936,Yes,213,100,LINE;SINE,AilMel-5.25;L1M4_orf2,L1;tRNA,LINE;SINE,SINE,AilMel-5.25,200,2,1,0,IFNB1,14801188,14801748,-,0,3203
NW_026622808.1,66328666,66328936,66328666.2,66328887.8,221.7,9999,13,100,18.15,0.0819,48.3,0.5565,0.51,0.603,35,8,both,0.909,1.024,Yes,176,93.12169312,SINE,AilMel-5.756,tRNA,SINE,SINE,AilMel-5.756,176,1,0.931216931,0,IFT122,66299229,66370665,+,189,0
NW_026622764.1,76464607,76464845,76464607,76464817.7,210.7,9999,13,100,9.57,0.0454,27.3,0.48165,0.52,0.4433,31,8,both,0.954,0.902,Yes,212,100,SINE,AilMel-5.756,tRNA,SINE,SINE,AilMel-5.756,212,1,1,0,IFT88,76386583,76533424,-,212,0
NW_026622963.1,22685723,22686789,22685825.9,22686594.1,768.1,6857.58,13,100,25.27,0.0329,297.9,0.6103000000000001,0.65,0.5706,31,11,both,1.016,1.146,Yes,673,97.81976744,LINE,AilMel-5.28,L1,LINE,LINE,AilMel-5.28,673,1,0.978197674,0,IGF1R,22527035,22823339,+,688,0
NW_026622908.1,44257612,44257762,44257612,44257727.8,115.8,9999,13,100,9.86,0.0851,34.2,0.62905,0.555,0.7031,36,9,both,0.967,0.963,Yes,113,100,LINE,L1M4_5end,L1,LINE,LINE,L1M4_5end,113,1,1,0,IGHMBP2,44245430,44272191,+,113,0
NW_026622908.1,44259493,44260049,44259586.8,44259856.1,269.3,7656.12,13,100,51.76,0.1922,286.7,0.4952,0.5347,0.4557,34,1,both,0.824,0.934,Yes,242,89.96282528,SINE,AilMel-5.25;AilMel-5.756,tRNA,SINE,SINE,AilMel-5.25,145,2,0.899628253,0,IGHMBP2,44245430,44272191,+,269,0
NC_079873.1,24350698,24350969,24350698.2,24350910.2,212.1,9999,13,100,18.59,0.0877,58.9,0.84375,0.9375,0.75,32,6,both,1.197,1.086,Yes,206,100,SINE,AilMel-5.756,tRNA,SINE,SINE,AilMel-5.756,206,1,1,0,IL1RAPL1,23944780,24591494,+,206,0
NC_079873.1,82058324,82058543,82058324,82058528.5,204.5,9999,13,100,4.43,0.0217,20,0.8242,0.8609,0.7875,44,7,both,0.99,1.071,Yes,208,99.5215311,SINE,AilMel-5.756,tRNA,SINE,SINE,AilMel-5.756,208,1,0.995215311,0,IL1RAPL2,81610095,82172555,+,209,0
NC_079873.1,81693979,81694242,81693994.4,81694205.8,211.5,9999,13,100,11.02,0.0521,51.5,0.7373000000000001,0.6621,0.8125,35,7,both,1.162,0.958,Yes,306,143.6619718,LINE;SINE,AilMel-5.756;L2c_3end;PanPar-1.30,L2;tRNA,LINE;SINE,SINE,AilMel-5.756,202,3,1.436619718,0,IL1RAPL2,81610095,82172555,+,213,0
NW_026622808.1,19351265,19351514,19351297,19351486.3,189.3,9999,13,100,12.19,0.0644,59.7,0.5088,0.4531,0.5645,45,3,both,1.031,0.982,Yes,141,96.57534247,SINE,AilMel-5.25,tRNA,SINE,SINE,AilMel-5.25,141,1,0.965753425,0,ILF3,19345910,19372765,+,146,0
NW_026622985.1,65828308,65828535,65828308,65828514.1,206.1,9999,13,100,7.56,0.0367,20.9,0.6468499999999999,0.7353,0.5584,33,7,both,0.928,0.889,Yes,202,95.73459716,SINE,AilMel-5.756,tRNA,SINE,SINE,AilMel-5.756,202,1,0.957345972,0,IMMP2L,65090556,65911778,-,211,0
NW_026623030.1,6965444,6965549,6965444,6965548.8,104.8,9999,13,100,0.36,0.0034,20,0.36535,0.6307,0.1,22,4,start,0.957,,Yes,29,27.61904762,SINE,MIRc,MIR,SINE,SINE,MIRc,29,1,0.276190476,0,IMPA2,6959546,7002592,-,105,0
NW_026623030.1,6981472,6981736,6981472,6981692.5,220.5,9999,13,100,18.86,0.0855,43.5,0.46409999999999996,0.4397,0.4885,32,4,both,1.056,0.969,Yes,205,91.51785714,SINE,AilMel-5.756,tRNA,SINE,SINE,AilMel-5.756,205,1,0.915178571,0,IMPA2,6959546,7002592,-,224,0
NW_026623050.1,7193056,7194582,7193121.5,7194573.5,1452.1,9241.62,13,100,29.02,0.02,73.9,0.4816,0.2895,0.6737,35,5,end,,0.931,Yes,1508,103.7138927,LINE;SINE;tRNA,AilMel-5.756;L1MEg_5end;MirAng-6.1356;UrsMar-1.13;tRNA-Lys-AAG,L1;tRNA,LINE;SINE;tRNA,LINE,L1MEg_5end,333,8,1.037138927,0,INO80,7122123,7251088,-,1454,0
NW_026622775.1,32504766,32505082,32504801.1,32505015.9,214.8,9999,13,100,22.47,0.1046,101.2,0.83195,0.9074,0.7565,33,4,both,1.14,0.922,Yes,202,99.01960784,SINE,AilMel-5.756,tRNA,SINE,SINE,AilMel-5.756,202,1,0.990196078,0,INPP4B,32002789,32741643,-,204,0
NW_026622775.1,32106334,32106565,32106357.4,32106564.3,206.9,7711.54,13,100,9.57,0.0463,24.1,0.51466,0.43432000000000004,0.595,37,7,both,1.544,1.165,Yes,203,100,DNA;SINE,AilMel-5.756;PumCon-3.547,TcMar-Tigger;tRNA,DNA;SINE,SINE,AilMel-5.756,202,2,1,0,INPP4B,32002789,32741643,-,203,0
NW_026622941.1,24802851,24802986,24802866.2,24802954.5,88.3,9999,13,100,11.85,0.1342,46.7,0.3868,0.3611,0.4125,11,6,both,1.109,0.951,No,0,0,None,None,None,None,None,None,0,0,0,41,INTS13,24793718,24821871,-,88,0
NW_026622963.1,2140850,2141086,2140862,2141053.3,191.3,9999,13,100,12.91,0.0675,44.7,0.6272500000000001,0.5812,0.6733,31,7,both,1.014,0.955,Yes,181,100,SINE,AilMel-5.756,tRNA,SINE,SINE,AilMel-5.756,181,1,1,0,INTS14,2108007,2137690,-,0,3174
NW_026622764.1,58726806,58727083,58726806.6,58727038.5,231.8,9999,13,100,36.45,0.1572,72.9,0.64775,0.7289,0.5666,36,3,both,1.036,0.843,Yes,287,100,LINE;SINE,AilMel-5.25;L1MB3_3end,L1;tRNA,LINE;SINE,SINE,AilMel-5.25,197,3,1,0,INTS6,58612949,58791718,-,287,0
NW_026622808.1,33021984,33022184,33021984.4,33022183.5,199.2,9999,13,100,1.46,0.0073,20,0.5376075,0.51,0.565215,37,9,both,1.164,1.31,Yes,200,100,LINE;SINE,AilMel-5.25;CryFer-1.73,L1;tRNA,LINE;SINE,SINE,AilMel-5.25,196,2,1,0,IP6K1,32995114,33056898,-,200,0
NW_026622808.1,33034014,33034218,33034014.1,33034217.2,203.1,9999,13,100,2.37,0.0117,20,0.44800000000000006,0.336,0.56,30,3,both,1.212,1.017,Yes,207,97.64150943,LINE;SINE,AilMel-5.756;L1M5_orf2,L1;tRNA,LINE;SINE,SINE,AilMel-5.756,202,3,0.976415094,0,IP6K1,32995114,33056898,-,212,0
NW_026622897.1,61888265,61888521,61888265,61888488.5,223.5,9999,13,100,20.03,0.0896,40.1,0.54061,0.4883200000000001,0.5929,39,4,both,1.355,0.968,Yes,201,95.71428571,SINE,AilMel-5.756,tRNA,SINE,SINE,AilMel-5.756,201,1,0.957142857,0,IPO7,61882396,61933508,+,210,0
NW_026623019.1,608115,608280,608128.8,608271.5,142.7,9999,13,100,4.56,0.032,22.3,0.42285000000000006,0.3421,0.5036,47,5,both,0.86,0.917,Yes,106,100,SINE,AilMel-1.144,tRNA,SINE,SINE,AilMel-1.144,106,1,1,0,IPPK,576144,621184,-,106,0
NW_026622963.1,34187485,34187729,34187485,34187699.7,214.7,9999,13,100,11.48,0.0535,29.3,0.584,0.46799999999999997,0.7,50,8,both,1.533,0.86,Yes,397,183.7962963,DNA;SINE;Simple_repeat,(T)n;AilMel-5.756;PumCon-3.547,TcMar-Tigger;tRNA,DNA;SINE;Simple_repeat,SINE,AilMel-5.756,186,3,1.837962963,0,IQGAP1,34126230,34227133,-,216,0
NW_026622819.1,37165286,37167250,37165449.1,37167101.7,1652.6,5046.04,13,100,30.79,0.0186,311.4,0.69055,0.7478,0.6333,38,6,both,0.916,0.885,Yes,196,11.10481586,SINE,AilMel-5.756,tRNA,SINE,SINE,AilMel-5.756,196,1,0.111048159,0,ITGA1,37080810,37247237,+,1765,0
NW_026623056.1,83785010,83785215,83785010,83785214.9,204.9,9999,13,100,0.27,0.0013,20,0.31875,0.5375,0.1,17,5,start,1.076,,Yes,207,100,DNA;SINE,AilMel-5.756;PumCon-3.547,TcMar-Tigger;tRNA,DNA;SINE,SINE,AilMel-5.756,202,2,1,0,ITSN1,83724437,83928515,+,207,0
NW_026622775.1,21085776,21086026,21085776,21085988.5,212.5,9999,13,100,15.55,0.0732,37.5,0.6833,0.7816,0.585,39,6,both,1.172,0.928,Yes,203,100,SINE;Simple_repeat,A-rich;UrsMar-6.1536,tRNA,SINE;Simple_repeat,SINE,UrsMar-6.1536,198,2,1,0,JADE1,20868772,21375761,+,203,0
NC_079873.1,39332385,39332644,39332399.6,39332619.6,220,9999,13,100,9.62,0.0437,39,0.36585,0.3706,0.3611,26,6,both,0.94,1,Yes,378,163.6363636,DNA;SINE,AilMel-5.756;PumCon-3.547,TcMar-Tigger;tRNA,DNA;SINE,DNA,PumCon-3.547,152,3,1.636363636,0,JADE3,39335375,39466988,+,0,2763
NW_026623019.1,5434269,5434501,5434275.7,5434500.8,225.1,9999,13,100,4.94,0.0219,20,0.42327000000000004,0.5735,0.27304,37,6,both,0.893,0.482,Yes,214,95.11111111,SINE,AilMel-5.756,tRNA,SINE,SINE,AilMel-5.756,214,1,0.951111111,0,JAK2,5388060,5655981,-,225,0
NW_026622875.1,35670979,35671237,35670979,35671188.2,209.2,9999,13,100,22.09,0.1056,48.8,0.5917,0.5177,0.6657,45,7,both,0.937,1.135,Yes,196,100,SINE,AilMel-5.756,tRNA,SINE,SINE,AilMel-5.756,196,1,1,0,KAT2B,35617694,35715666,+,196,0
NW_026622874.1,86627365,86629281,86627527.4,86629138.2,1610.8,5431.04,13,100,34.59,0.0215,305.2,0.7413000000000001,0.7526,0.73,34,8,both,0.938,1.069,Yes,1259,78.10173697,DNA;LINE;LTR;SINE;tRNA,AilMel-1.18;AilMel-5.756;L4_A_Mam;MER113A;MIR;MLT1C;tRNA-Lys-AAG,ERVL-MaLR;MIR;RTE-X;hAT-Charlie;tRNA,DNA;LINE;LTR;SINE;tRNA,LTR,MLT1C,261,8,0.78101737,0,KATNIP,86523523,86706704,+,1612,0
NW_026623078.1,29436574,29436772,29436574,29436771.7,197.7,9999,13,100,0.72,0.0037,20,0.59743,0.41776,0.7771,49,8,both,1.611,0.864,Yes,203,98.06763285,LINE;Simple_repeat,(T)n;AilMel-5.28,L1,LINE;Simple_repeat,LINE,AilMel-5.28,169,2,0.980676329,0,KCNB2,29122935,29504427,+,207,0
NW_026622786.1,13865973,13866227,13865984.4,13866206,221.6,9999,13,100,5.51,0.0249,32.4,0.49845000000000006,0.6286,0.3683,29,8,both,1.058,0.931,Yes,226,90.76305221,SINE,AilMel-5.756;UrsMar-6.1536,tRNA,SINE,SINE,UrsMar-6.1536,129,2,0.907630522,0,KCND3,13824008,14035616,+,249,0
NW_026623100.1,52330446,52330693,52330446,52330652.4,206.4,9999,13,100,16.58,0.0804,40.6,0.6940500000000001,0.6367,0.7514,34,4,both,1.174,0.966,Yes,214,103.3816425,DNA;SINE,AilMel-5.756;Charlie2a,hAT-Charlie;tRNA,DNA;SINE,SINE,AilMel-5.756,202,3,1.033816425,0,KCNG3,52313945,52354680,+,207,0
NW_026623100.1,52329849,52330054,52329849.8,52330054,204.2,9240.92,13,100,0.36,0.0018,20,0.49174999999999996,0.5599999999999999,0.4235,32,6,both,1.221,0.938,Yes,196,103.7037037,DNA;SINE,AilMel-5.756;Charlie2a,hAT-Charlie;tRNA,DNA;SINE,SINE,AilMel-5.756,189,2,1.037037037,0,KCNG3,52313945,52354680,+,189,0
NW_026622930.1,36248880,36248984,36248880,36248955.2,75.2,9999,13,100,8.31,0.1105,28.8,0.53815,0.72,0.3563,31,6,both,1.009,0.955,Yes,78,100,LINE,L2a_3end,L2,LINE,LINE,L2a_3end,78,1,1,0,KCNH5,36078023,36355144,+,78,0
NW_026622763.1,43564902,43565119,43564924.5,43565118.9,194.4,9999,13,100,6.89,0.0354,22.6,0.5156000000000001,0.6,0.4312,34,6,both,1.039,0.855,Yes,194,100,SINE,AilMel-5.756,tRNA,SINE,SINE,AilMel-5.756,194,1,1,0,KCNH7,43123453,43581190,-,194,0
NW_026622875.1,35055357,35055621,35055357,35055572.5,215.5,9999,13,100,17.19,0.0797,48.5,0.72924,0.7743,0.68418,52,8,both,0.874,1.241,Yes,300,144.9275362,SINE,AilMel-5.756;PanPar-1.30,tRNA,SINE,SINE,AilMel-5.756,200,2,1.449275362,0,KCNH8,34891469,35253155,+,207,0
NW_026622875.1,35065796,35067758,35065816.5,35067734.8,1918.3,9240.92,13,100,25.48,0.0133,51,0.52935,0.6587,0.4,31,7,both,0.962,0.901,Yes,1953,100.7220217,LINE,AilMel-1.74;AilMel-3.126;AilMel-5.28,L1,LINE,LINE,AilMel-1.74,1035,4,1.007220217,0,KCNH8,34891469,35253155,+,1939,0
NW_026622819.1,57587331,57587403,57587331.3,57587378.2,46.8,9242.08,13,100,7.28,0.1555,25.2,0.6415500000000001,0.63,0.6531,31,8,both,0.981,0.962,No,0,0,None,None,None,None,None,None,0,0,0,740,KCNIP1,57499705,57831740,+,47,0
NW_026623100.1,51684320,51684501,51684320,51684484.2,164.2,9999,13,100,4.85,0.0296,20,0.5124,0.7353,0.2895,36,6,both,0.971,,Yes,164,100,LINE,L1M5_orf2,L1,LINE,LINE,L1M5_orf2,164,1,1,0,KCNIP3,51677206,51702410,+,164,0
NW_026622874.1,26874990,26877915,26875123.7,26877751.8,2628,5942.86,13,100,33.69,0.0128,297,0.64855,0.6,0.6971,21,7,both,1.099,1,Yes,1644,59.30735931,DNA;LINE;Simple_repeat,(ATAA)n;AilMel-5.28;LepWed-3.16;MER33,L1;hAT-Charlie,DNA;LINE;Simple_repeat,LINE,AilMel-5.28,815,4,0.593073593,0,KCNK2,26854199,26991562,-,2772,0
NW_026622908.1,46694996,46695235,46694996,46695204.5,208.5,9999,13,100,8.82,0.0423,30.5,0.4572,0.4,0.5144,36,5,both,0.971,1.154,Yes,191,99.47916667,SINE,AilMel-5.756,tRNA,SINE,SINE,AilMel-5.756,191,1,0.994791667,0,KCNQ1,46475688,46726344,-,192,0
NW_026622908.1,46604337,46604500,46604337,46604451.8,114.8,9999,13,100,18.93,0.165,48.2,0.5362500000000001,0.495,0.5775000000000001,38,6,both,1.135,1.353,Yes,79,78.21782178,Simple_repeat,(AT)n,None,Simple_repeat,Simple_repeat,(AT)n,79,1,0.782178218,0,KCNQ1,46475688,46726344,-,101,0
NW_026623030.1,23860166,23860422,23860205.3,23860421.5,216.2,9999,13,100,16.02,0.0741,39.8,0.7515499999999999,0.8,0.7031,31,5,both,1.08,1.014,Yes,189,100,SINE,AilMel-5.756,tRNA,SINE,SINE,AilMel-5.756,189,1,1,0,KDM2B,23809855,23930229,-,189,0
NW_026623078.1,80271197,80271396,80271197,80271395.7,198.7,9999,13,100,0.61,0.003,20,0.6499999999999999,0.6786,0.6214,36,7,both,1.147,0.952,Yes,202,96.19047619,SINE,AilMel-5.756,tRNA,SINE,SINE,AilMel-5.756,202,1,0.961904762,0,KHDRBS3,80091749,80277294,+,210,0
NW_026623067.1,75077660,75077903,75077660.1,75077888.3,228.2,9999,13,100,5.9,0.0258,20,0.43696,0.46,0.41392,38,4,both,1.048,0.755,Yes,202,87.82608696,SINE,AilMel-5.756,tRNA,SINE,SINE,AilMel-5.756,202,1,0.87826087,0,KIAA0825,75006285,75382868,-,230,0
NW_026622986.1,15089068,15090417,15089215,15090245.1,1030.2,5680.13,13,100,31.55,0.0306,318.8,0.59595,0.5731,0.6188,29,6,both,1.182,1.04,No,0,0,None,None,None,None,None,None,0,0,0,186,KIAA1217,14974371,15429370,-,1088,0
NW_026622841.1,34356023,34356185,34356038.7,34356184.8,146.1,9999,13,100,4.63,0.0317,20,0.7431,0.6333,0.8529,32,6,both,1.014,0.944,Yes,146,100,LINE,L1MEf_5end,L1,LINE,LINE,L1MEf_5end,146,1,1,0,KIAA1328,34284017,34619814,-,146,0
NW_026622852.1,40434215,40434333,40434244.4,40434311.5,67.1,9999,13,100,13.16,0.1962,50.9,0.515645,0.45129,0.58,37,4,both,0.779,1.178,Yes,46,88.46153846,Simple_repeat,(CCTC)n,None,Simple_repeat,Simple_repeat,(CCTC)n,46,1,0.884615385,0,KIAA1958,40309593,40460414,+,52,0
